entity_id,state,last_changed
sensor.panasonic_heat_pump_s0_watthourtotal_1,0.02,2024-03-28T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.06,2024-03-28T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.169,2024-03-28T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.177,2024-03-28T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.185,2024-03-28T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.193,2024-03-28T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,1.202,2024-03-28T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,2.008,2024-03-28T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,2.369,2024-03-28T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,2.796,2024-03-28T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,3.356,2024-03-29T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,3.818,2024-03-29T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,4.357,2024-03-29T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,4.825,2024-03-29T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,5.368,2024-03-29T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,5.549,2024-03-29T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,6.413,2024-03-29T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,6.746,2024-03-29T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,7.258,2024-03-29T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,7.32,2024-03-29T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,7.337,2024-03-29T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,7.353,2024-03-29T11:00:00.000Z
