time_utc,ashp_kwh,temperature_2m,wind_speed_10m,shortwave_radiation
2024-03-28T14:00:00Z,0.0,8.5,25.6,66.0
2024-03-28T15:00:00Z,1.04,7.6,27.7,53.0
2024-03-28T16:00:00Z,0.10899999999999999,8.2,24.5,92.0
2024-03-28T17:00:00Z,0.008000000000000007,7.6,23.3,86.0
2024-03-28T18:00:00Z,0.008000000000000007,6.8,16.3,12.0
2024-03-28T19:00:00Z,0.008000000000000007,5.5,9.4,0.0
2024-03-28T20:00:00Z,0.008999999999999897,5.4,11.1,0.0
2024-03-28T21:00:00Z,0.806,6.2,17.2,0.0
2024-03-28T22:00:00Z,0.3610000000000002,5.9,19.4,0.0
2024-03-28T23:00:00Z,0.4269999999999996,6.3,23.2,0.0
2024-03-29T00:00:00Z,0.56,6.5,23.5,0.0
2024-03-29T01:00:00Z,0.4620000000000002,6.2,19.6,0.0
2024-03-29T02:00:00Z,0.5390000000000001,5.2,19.5,0.0
2024-03-29T03:00:00Z,0.46799999999999997,5.3,15.8,0.0
2024-03-29T04:00:00Z,0.5430000000000001,4.8,14.8,0.0
2024-03-29T05:00:00Z,0.18100000000000005,4.8,17.4,0.0
2024-03-29T06:00:00Z,0.8639999999999999,5.1,20.4,48.0
2024-03-29T07:00:00Z,0.3330000000000002,6.6,18.7,181.0
2024-03-29T08:00:00Z,0.5119999999999996,8.1,19.3,271.0
2024-03-29T09:00:00Z,0.06200000000000028,9.9,23.1,446.0
2024-03-29T10:00:00Z,0.01699999999999946,10.8,22.6,470.0
2024-03-29T11:00:00Z,0.016000000000000014,10.7,26.1,440.0
2024-03-29T12:00:00Z,0.016000000000000014,9.5,21.3,161.0
2024-03-29T13:00:00Z,0.016000000000000014,9.5,17.2,251.0
2024-03-29T14:00:00Z,0.016000000000000014,8.4,13.5,91.0
2024-03-29T15:00:00Z,0.27200000000000024,7.8,12.3,60.0
2024-03-29T16:00:00Z,0.5199999999999996,7.5,7.9,47.0
2024-03-29T17:00:00Z,0.011000000000001009,7.7,4.7,58.0
2024-03-29T18:00:00Z,0.007999999999999119,4.9,9.6,13.0
2024-03-29T19:00:00Z,0.009000000000000341,5.0,8.1,0.0
2024-03-29T20:00:00Z,0.007999999999999119,3.5,8.9,0.0
2024-03-29T21:00:00Z,1.2040000000000006,3.0,8.7,0.0
2024-03-29T22:00:00Z,0.8800000000000008,2.3,8.8,0.0
2024-03-29T23:00:00Z,0.875,3.8,6.9,0.0
2024-03-30T00:00:00Z,0.875,2.8,8.8,0.0
2024-03-30T01:00:00Z,0.75,5.1,5.9,0.0
2024-03-30T02:00:00Z,0.9059999999999988,4.8,7.0,0.0
2024-03-30T03:00:00Z,0.713000000000001,4.4,8.7,0.0
2024-03-30T04:00:00Z,0.2579999999999991,4.8,11.9,0.0
2024-03-30T05:00:00Z,1.011000000000001,5.2,12.9,0.0
2024-03-30T06:00:00Z,0.6739999999999995,5.7,15.8,52.0
2024-03-30T07:00:00Z,0.18299999999999983,6.7,17.4,115.0
2024-03-30T08:00:00Z,0.2480000000000011,6.6,17.2,76.0
2024-03-30T09:00:00Z,0.2970000000000006,7.1,21.1,115.0
2024-03-30T10:00:00Z,0.0779999999999994,7.4,23.2,196.0
2024-03-30T11:00:00Z,0.01699999999999946,7.4,22.2,170.0
2024-03-30T12:00:00Z,0.05699999999999861,9.2,23.5,469.0
2024-03-30T13:00:00Z,0.01600000000000179,10.9,24.0,554.0
2024-03-30T14:00:00Z,0.01699999999999946,10.9,23.8,425.0
2024-03-30T15:00:00Z,0.01699999999999946,10.1,23.1,302.0
2024-03-30T16:00:00Z,0.01600000000000179,9.4,24.0,222.0
2024-03-30T17:00:00Z,0.008999999999996788,8.8,23.6,100.0
2024-03-30T18:00:00Z,0.008000000000002672,8.1,21.4,15.0
2024-03-30T19:00:00Z,0.007999999999999119,7.8,22.7,0.0
2024-03-30T20:00:00Z,0.009000000000000341,7.6,15.0,0.0
2024-03-30T21:00:00Z,0.6080000000000005,6.8,12.3,0.0
2024-03-30T22:00:00Z,0.509999999999998,6.6,12.4,0.0
2024-03-30T23:00:00Z,0.12199999999999989,6.8,13.0,0.0
2024-03-31T00:00:00Z,0.6120000000000019,6.7,11.3,0.0
2024-03-31T01:00:00Z,0.5019999999999989,6.9,8.3,0.0
2024-03-31T02:00:00Z,0.11599999999999966,6.5,6.9,0.0
2024-03-31T03:00:00Z,0.28200000000000003,5.6,5.2,0.0
2024-03-31T04:00:00Z,0.6240000000000023,4.2,7.6,0.0
2024-03-31T05:00:00Z,0.2619999999999969,4.2,5.9,1.0
2024-03-31T06:00:00Z,0.6380000000000017,5.5,5.4,56.0
2024-03-31T07:00:00Z,0.4819999999999993,8.1,9.5,184.0
2024-03-31T08:00:00Z,0.11700000000000088,10.1,9.6,270.0
2024-03-31T09:00:00Z,0.01699999999999946,12.1,12.1,434.0
2024-03-31T10:00:00Z,0.01699999999999946,13.1,12.6,457.0
2024-03-31T11:00:00Z,0.01699999999999946,13.0,14.0,397.0
2024-03-31T12:00:00Z,0.01699999999999946,13.0,15.9,471.0
2024-03-31T13:00:00Z,0.017000000000003013,11.1,18.5,428.0
2024-03-31T14:00:00Z,0.06599999999999895,9.4,18.0,313.0
2024-03-31T15:00:00Z,0.01699999999999946,8.3,15.5,192.0
2024-03-31T16:00:00Z,0.009000000000000341,7.6,15.8,148.0
2024-03-31T17:00:00Z,0.007999999999999119,7.1,14.6,59.0
2024-03-31T18:00:00Z,0.007999999999999119,6.0,18.2,12.0
2024-03-31T19:00:00Z,0.009000000000000341,5.5,15.3,0.0
2024-03-31T20:00:00Z,0.7330000000000005,5.1,9.7,0.0
2024-03-31T21:00:00Z,0.5370000000000026,5.2,7.9,0.0
2024-03-31T22:00:00Z,0.16499999999999915,5.3,8.4,0.0
2024-03-31T23:00:00Z,0.7479999999999976,4.8,5.2,0.0
2024-04-01T00:00:00Z,0.41000000000000014,4.8,5.6,0.0
2024-04-01T01:00:00Z,0.01600000000000179,4.7,7.4,0.0
2024-04-01T02:00:00Z,0.01699999999999946,4.4,10.1,0.0
